Far field
"Theta"[deg]	"FarField1 [dBsm]"	
2.50000000E+1	1.35005689E+1	
2.55000000E+1	1.52743481E+1	
2.60000000E+1	1.62288383E+1	
2.65000000E+1	1.65686447E+1	
2.70000000E+1	1.63737288E+1	
2.75000000E+1	1.56503646E+1	
2.80000000E+1	1.43340958E+1	
2.85000000E+1	1.22489299E+1	
2.90000000E+1	8.95258503E+0	
2.95000000E+1	2.98277777E+0	
3.00000000E+1	-9.79848218E+1	
3.05000000E+1	2.58966340E+0	
3.10000000E+1	8.17126960E+0	
3.15000000E+1	1.10894930E+1	
3.20000000E+1	1.28127685E+1	
3.25000000E+1	1.37911565E+1	
3.30000000E+1	1.42113247E+1	
3.35000000E+1	1.41536965E+1	
3.40000000E+1	1.36383129E+1	
3.45000000E+1	1.26340167E+1	
3.50000000E+1	1.10421936E+1	
3.55000000E+1	8.63419828E+0	
3.60000000E+1	4.82672006E+0	
3.65000000E+1	-2.61200982E+0	
3.70000000E+1	-1.18414560E+1	
3.75000000E+1	1.57022292E+0	
3.80000000E+1	6.21546148E+0	
3.85000000E+1	8.82880208E+0	
3.90000000E+1	1.04393231E+1	
3.95000000E+1	1.14045810E+1	
4.00000000E+1	1.18841712E+1	
4.05000000E+1	1.19540557E+1	
4.10000000E+1	1.16437541E+1	
4.15000000E+1	1.09478215E+1	
4.20000000E+1	9.82319267E+0	
4.25000000E+1	8.16986886E+0	
4.30000000E+1	5.77334249E+0	
4.35000000E+1	2.11167562E+0	
4.40000000E+1	-4.65606064E+0	
4.45000000E+1	-2.01453325E+1	
4.50000000E+1	-2.51019214E+0	
4.55000000E+1	2.56919473E+0	
4.60000000E+1	5.41311363E+0	
4.65000000E+1	7.22111073E+0	
4.70000000E+1	8.39432151E+0	
4.75000000E+1	9.11336956E+0	
4.80000000E+1	9.47117311E+0	
4.85000000E+1	9.51692636E+0	
4.90000000E+1	9.27328167E+0	
4.95000000E+1	8.74278083E+0	
5.00000000E+1	7.90818823E+0	
5.05000000E+1	6.72693155E+0	
5.10000000E+1	5.11567487E+0	
5.15000000E+1	2.91109199E+0	
5.20000000E+1	-2.45535194E-1	
5.25000000E+1	-5.38233950E+0	
5.30000000E+1	-1.92281873E+1	
5.35000000E+1	-1.03857424E+1	
5.40000000E+1	-3.26244638E+0	
5.45000000E+1	3.00549484E-1	
5.50000000E+1	2.54622594E+0	
5.55000000E+1	4.07227972E+0	
5.60000000E+1	5.12698435E+0	
5.65000000E+1	5.83665640E+0	
5.70000000E+1	6.27324865E+0	
5.75000000E+1	6.48030863E+0	
5.80000000E+1	6.48457782E+0	
5.85000000E+1	6.30162209E+0	
5.90000000E+1	5.93855995E+0	
5.95000000E+1	5.39509816E+0	
6.00000000E+1	4.66327900E+0	
6.05000000E+1	3.72583784E+0	
6.10000000E+1	2.55249086E+0	
6.15000000E+1	1.09236235E+0	
6.20000000E+1	-7.42071698E-1	
6.25000000E+1	-3.11298647E+0	
6.30000000E+1	-6.36569309E+0	
6.35000000E+1	-1.14608769E+1	
6.40000000E+1	-2.40827367E+1	
6.45000000E+1	-1.76616691E+1	
6.50000000E+1	-1.01578859E+1	
6.55000000E+1	-6.47374805E+0	
6.60000000E+1	-4.12806555E+0	
6.65000000E+1	-2.48606633E+0	
6.70000000E+1	-1.28690050E+0	
6.75000000E+1	-3.97381236E-1	
6.80000000E+1	2.59892281E-1	
6.85000000E+1	7.33980039E-1	
6.90000000E+1	1.05797650E+0	
6.95000000E+1	1.25527060E+0	
7.00000000E+1	1.34299262E+0	
7.05000000E+1	1.33403999E+0	
7.10000000E+1	1.23833112E+0	
7.15000000E+1	1.06361423E+0	
7.20000000E+1	8.16007162E-1	
7.25000000E+1	5.00367345E-1	
7.30000000E+1	1.20550820E-1	
7.35000000E+1	-3.20403791E-1	
7.40000000E+1	-8.20143635E-1	
7.45000000E+1	-1.37690766E+0	
7.50000000E+1	-1.98946063E+0	
7.55000000E+1	-2.65704885E+0	
7.60000000E+1	-3.37937332E+0	
7.65000000E+1	-4.15657772E+0	
7.70000000E+1	-4.98924977E+0	
7.75000000E+1	-5.87843541E+0	
7.80000000E+1	-6.82566603E+0	
7.85000000E+1	-7.83299985E+0	
7.90000000E+1	-8.90307943E+0	
7.95000000E+1	-1.00392084E+1	
8.00000000E+1	-1.12454518E+1	
8.05000000E+1	-1.25267661E+1	
8.10000000E+1	-1.38891684E+1	
8.15000000E+1	-1.53399566E+1	
8.20000000E+1	-1.68879993E+1	
8.25000000E+1	-1.85441216E+1	
8.30000000E+1	-2.03216261E+1	
8.35000000E+1	-2.22370089E+1	
8.40000000E+1	-2.43109653E+1	
8.45000000E+1	-2.65698342E+1	
8.50000000E+1	-2.90477358E+1	
8.55000000E+1	-3.17898411E+1	
8.60000000E+1	-3.48575781E+1	
8.65000000E+1	-3.83373403E+1	
8.70000000E+1	-4.23559674E+1	
8.75000000E+1	-4.71105116E+1	
8.80000000E+1	-5.29317828E+1	
8.85000000E+1	-6.04416778E+1	
8.90000000E+1	-7.10438044E+1	
8.95000000E+1	-8.92735334E+1	
9.00000000E+1	-1.11045708E+2	
